user_id,card_number,exp_month,exp_year,address_state,address_zip,original_index
349,4436339073716272449,02,2031,28,42057,251
742,4741081344916737330,11,2032,29,78080,644
142,3521253595911727,02,2030,0,51707,44
389,4509473587617615901,09,2028,50,68257,291
420,4970508785268740795,03,2030,49,24782,322
2385,4633229687608288273,02,2030,17,24763,2287
250,4582222028402,12,2030,4,16689,152
1368,4892700496546150698,08,2033,22,15962,1270
2730,4488625092366294952,02,2033,43,6793,2632
272,4842306421301529,12,2027,2,29768,174
2771,4427387717553412308,08,2026,22,54973,2673
593,4606305268081140167,06,2029,0,32598,495
452,4925084686259783719,10,2031,12,58473,354
344,4773712106455840,02,2024,15,8743,246
276,4654028344152159489,05,2029,1,69998,178
2772,4998123166531612655,10,2025,48,64780,2674
2821,4883577966333718658,05,2030,23,4392,2723
541,4043911128215063994,04,2029,4,8812,443
2736,4156931236165325697,09,2030,0,27721,2638
1351,4767663173518962793,02,2032,45,15779,1253
2396,4204473975583590604,02,2025,43,35821,2298
2726,4717818673279877071,09,2032,7,94890,2628
209,6520826565793813,02,2028,4,6551,111
626,4517155719101806559,11,2025,46,96976,528
596,4917929729773735140,11,2028,21,51089,498
105,6504614901955720,09,2023,11,3156,7
329,4200235535024137568,08,2031,0,60325,231
194,4294948276219324742,05,2032,17,88453,96
2471,4228182410685829693,03,2033,34,50979,2373
202,4734455849670932714,03,2026,43,40307,104
