user_id,card_number,exp_month,exp_year,address_country,address_state,address_zip,customer_id_count,potential_fraud,anomaly,fraud,card_user_count,is_fraud
100,180038389986979,10,2023,1,1,10435,1,0,-1,True,1,1
105,6504614901955720,09,2023,1,11,03156,1,0,-1,True,1,1
159,3563746874534051,12,2031,1,45,99794,1,0,-1,True,1,0
193,4684156846211946830,02,2028,1,50,63975,1,0,-1,True,1,0
194,4294948276219324742,05,2032,1,17,88453,1,0,-1,True,1,0
196,4705765936389907619,01,2026,1,39,92316,1,0,-1,True,1,0
197,4033631685482093681,04,2030,1,41,54192,1,0,-1,True,1,0
198,4530758972247167436,01,2024,1,37,79768,1,0,-1,True,1,0
202,4734455849670932714,03,2026,1,43,40307,1,0,-1,True,1,0
207,4081858477171404196,04,2031,1,50,81333,1,0,-1,True,1,0
212,4153530587774167090,10,2025,1,0,83574,1,0,-1,True,1,0
219,4455284333990595872,10,2028,1,18,83722,1,0,-1,True,1,0
220,4765153988051768047,09,2031,1,38,98436,1,0,-1,True,1,0
228,4785571625274362214,03,2024,1,13,34134,1,0,-1,True,1,0
264,4574063659189663229,11,2033,1,45,15820,1,0,-1,True,1,1
276,4654028344152159489,05,2029,1,1,69998,1,0,-1,True,1,0
329,4200235535024137568,08,2031,1,0,60325,1,0,-1,True,1,0
334,4142207981329123838,12,2031,1,15,80577,1,0,-1,True,1,0
349,4436339073716272449,02,2031,1,28,42057,1,0,-1,True,1,0
379,4718839461821606880,01,2029,1,32,65952,1,0,-1,True,1,0
389,4509473587617615901,09,2028,1,50,68257,1,0,-1,True,1,0
398,4958456346442308590,06,2027,1,18,13434,1,0,-1,True,1,0
420,4970508785268740795,03,2030,1,49,24782,1,0,-1,True,1,0
434,4252878370391795779,05,2025,1,3,05590,1,0,-1,True,1,0
442,6596582915794337,05,2023,1,48,05868,1,0,-1,True,1,1
452,4925084686259783719,10,2031,1,12,58473,1,0,-1,True,1,0
454,4552565984588607893,06,2032,1,39,30397,1,0,-1,True,1,0
456,4992701521075434051,06,2030,1,43,03432,1,0,-1,True,1,0
467,4538684393367529655,10,2026,1,37,18640,1,0,-1,True,1,0
532,4088700071957070514,12,2028,1,14,06054,1,0,-1,True,1,0
541,4043911128215063994,04,2029,1,4,08812,1,0,-1,True,1,0
546,4770059353907084252,12,2024,1,20,29830,1,0,-1,True,1,0
578,4927256869100162352,07,2024,1,28,07147,1,0,-1,True,1,0
593,4606305268081140167,06,2029,1,0,32598,1,0,-1,True,1,0
596,4917929729773735140,11,2028,1,21,51089,1,0,-1,True,1,0
611,4239051193933929599,12,2031,1,36,47089,1,0,-1,True,1,0
616,4988776491113067636,12,2024,1,33,23624,1,0,-1,True,1,0
620,4980108952896286525,07,2024,1,48,15402,1,0,-1,True,1,0
626,4517155719101806559,11,2025,1,46,96976,1,0,-1,True,1,0
648,4191109089845049309,08,2024,1,38,01117,1,0,-1,True,1,0
742,4741081344916737330,11,2032,1,29,78080,1,0,-1,True,1,0
744,4455495630292249248,01,2025,1,10,54119,1,0,-1,True,1,0
